m (mol/kg),gamma,Osmotic NH42HPO4,a_water,Beta(0) ,Beta(1),Beta(2),C(MX)
0.020,0.6478,0.8755,0.999054,,,,
0.030,0.6048,0.8603,0.998606,,,,
0.040,0.5741,0.8499,0.998164,,,,
0.050,0.5505,0.8423,0.997726,,,,
0.060,0.5315,0.8366,0.997291,,,,
0.070,0.5158,0.8321,0.996857,,,,
0.080,0.5025,0.8286,0.996424,,,,
0.090,0.4911,0.8259,0.995991,,,,
0.098,0.4829,0.8241,0.995645,,,,
,,,,,,,
Sodium Phosphate (Na2HPO4),,,,,,,
m (mol/kg),gamma,Osmotic,a_water,-0.02266,1.249,0,0.00752
0.001,0.8868,0.9613,0.999948,-0.02266,1.249,0,0.00752
0.002,0.8476,0.9475,0.999898,-0.02266,1.249,0,0.00752
0.003,0.8200,0.9370,0.999848,-0.02266,1.249,0,0.00752
0.004,0.7982,0.9297,0.999799,-0.02266,1.249,0,0.00752
0.005,0.7800,0.9231,0.999751,-0.02266,1.249,0,0.00752
0.006,0.7643,0.9174,0.999703,-0.02266,1.249,0,0.00752
0.007,0.7505,0.9123,0.999655,-0.02266,1.249,0,0.00752
0.008,0.7382,0.9077,0.999608,-0.02266,1.249,0,0.00752
0.009,0.7270,0.9035,0.999561,-0.02266,1.249,0,0.00752
0.010,0.7167,0.8997,0.999514,-0.02266,1.249,0,0.00752
0.020,0.6442,0.8720,0.999058,-0.02266,1.249,0,0.00752
0.030,0.5986,0.8540,0.998616,-0.02266,1.249,0,0.00752
0.040,0.5652,0.8405,0.998185,-0.02266,1.249,0,0.00752
0.050,0.5389,0.8297,0.997760,-0.02266,1.249,0,0.00752
0.060,0.5172,0.8205,0.997343,-0.02266,1.249,0,0.00752
0.070,0.4988,0.8126,0.996931,-0.02266,1.249,0,0.00752
0.080,0.4829,0.8055,0.996523,-0.02266,1.249,0,0.00752
0.090,0.4687,0.7991,0.996120,-0.02266,1.249,0,0.00752
0.100,0.4561,0.7933,0.995722,-0.02266,1.249,0,0.00752
0.200,0.3732,0.7504,0.991922,-0.02266,1.249,0,0.00752
0.300,0.3252,0.7199,0.988395,-0.02266,1.249,0,0.00752
0.400,0.2916,0.6948,0.985091,-0.02266,1.249,0,0.00752
0.500,0.2659,0.6731,0.981976,-0.02266,1.249,0,0.00752
0.600,0.2453,0.6538,0.979021,-0.02266,1.249,0,0.00752
0.700,0.2283,0.6367,0.976201,-0.02266,1.249,0,0.00752
0.800,0.2140,0.6213,0.973493,-0.02266,1.249,0,0.00752
0.900,0.2017,0.6077,0.970875,-0.02266,1.249,0,0.00752
